Expectation,Column,Success
expect_column_values_to_be_of_type,customer_id,True
expect_column_values_to_be_unique,customer_id,True
expect_column_values_to_not_be_null,customer_id,True
expect_column_values_to_be_of_type,customer_unique_id,True
expect_column_values_to_be_unique,customer_unique_id,False
expect_column_values_to_not_be_null,customer_unique_id,True
expect_column_values_to_be_of_type,customer_zip_code_prefix,False
expect_column_values_to_not_be_null,customer_zip_code_prefix,True
expect_column_values_to_be_of_type,customer_city,True
expect_column_values_to_not_be_null,customer_city,True
