Expectation,Column,Success
expect_column_values_to_be_of_type,geolocation_zip_code_prefix,False
expect_column_values_to_not_be_null,geolocation_zip_code_prefix,True
expect_column_values_to_be_of_type,geolocation_lat,False
expect_column_values_to_not_be_null,geolocation_lat,True
expect_column_values_to_be_of_type,geolocation_lng,False
expect_column_values_to_not_be_null,geolocation_lng,True
expect_column_values_to_be_of_type,geolocation_city,True
expect_column_values_to_not_be_null,geolocation_city,True
expect_column_values_to_be_of_type,geolocation_state,True
expect_column_values_to_not_be_null,geolocation_state,True
