Expectation,Column,Success
expect_column_values_to_be_of_type,review_id,True
expect_column_values_to_be_unique,review_id,False
expect_column_values_to_not_be_null,review_id,True
expect_column_values_to_be_of_type,order_id,True
expect_column_values_to_be_unique,order_id,False
expect_column_values_to_not_be_null,order_id,True
expect_column_values_to_be_of_type,review_score,False
expect_column_values_to_not_be_null,review_score,True
expect_column_values_to_be_of_type,review_comment_title,True
expect_column_values_to_not_be_null,review_comment_title,False
expect_column_values_to_be_of_type,review_creation_date,True
expect_column_values_to_not_be_null,review_creation_date,True
expect_column_values_to_be_of_type,review_answer_timestamp,True
expect_column_values_to_not_be_null,review_answer_timestamp,True
