Expectation,Column,Success
expect_column_values_to_be_of_type,product_id,True
expect_column_values_to_not_be_null,product_id,True
expect_column_values_to_be_of_type,product_category_name,True
expect_column_values_to_not_be_null,product_category_name,False
expect_column_values_to_be_of_type,product_name_lenght,False
expect_column_values_to_not_be_null,product_name_lenght,False
expect_column_values_to_be_of_type,product_description_lenght,False
expect_column_values_to_not_be_null,product_description_lenght,False
expect_column_values_to_be_of_type,product_photos_qty,False
expect_column_values_to_not_be_null,product_photos_qty,False
expect_column_values_to_be_of_type,product_weight_g,False
expect_column_values_to_not_be_null,product_weight_g,False
expect_column_values_to_be_of_type,product_length_cm,False
expect_column_values_to_not_be_null,product_length_cm,False
expect_column_values_to_be_of_type,product_height_cm,False
expect_column_values_to_not_be_null,product_height_cm,False
expect_column_values_to_be_of_type,product_width_cm,False
expect_column_values_to_not_be_null,product_width_cm,False
